root_id,cell_type,group,split,n_nodes,n_boutons,n_targets,n_postsyn_sites,n_in_resolved,n_in_from_db,n_input_cells,n_input_cells_in_db,n_in_unresolved,frac_in_resolved,frac_in_from_db
864691135258563503,L4IT,excitatory,test,7188,1327,1191,1637,1637,123,1451,66,0,1.0,0.07513744654856444
864691135271081125,L2IT,excitatory,train,6048,623,542,3813,3813,33,3439,20,0,1.0,0.00865460267505901
864691135273655569,L5ET,excitatory,test,7696,649,475,11887,11887,156,9994,32,0,1.0,0.01312358038192984
864691135274713617,ITC,inhibitory,train,1602,91,63,2879,2879,73,2675,57,0,1.0,0.02535602639805488
864691135277186789,L3IT,excitatory,train,4740,315,275,5140,5140,376,4515,143,0,1.0,0.07315175097276265
864691135279848865,L6CT,excitatory,train,4062,226,148,3460,3460,113,3059,74,0,1.0,0.03265895953757225
864691135277309669,L2IT,excitatory,train,6395,401,348,3493,3493,193,3244,114,0,1.0,0.055253363870598336
864691135276505573,L3IT,excitatory,train,4465,483,418,3399,3399,47,2898,21,0,1.0,0.013827596351868197
864691135280481697,L5IT,excitatory,test,4685,309,273,3122,3122,183,2785,114,0,1.0,0.05861627162075592
864691135280682401,L4IT,excitatory,train,3434,524,413,2642,2642,315,2121,96,0,1.0,0.11922785768357305
864691135279678881,L6IT,excitatory,test,3915,412,313,2615,2615,50,2221,20,0,1.0,0.019120458891013385
864691135280944545,L4IT,excitatory,train,3895,479,434,2075,2075,109,1838,67,0,1.0,0.05253012048192771
864691135277224421,astrocyte,glia,train,1819,58,42,88,88,19,72,3,0,1.0,0.2159090909090909
864691135295103500,L4IT,excitatory,train,3309,340,304,2141,2141,111,1712,46,0,1.0,0.05184493227463802
864691135294442678,L2IT,excitatory,train,4337,345,299,4749,4749,415,4214,189,0,1.0,0.08738681827753211
864691135294767884,L6CT,excitatory,train,3154,180,148,2474,2474,81,2280,58,0,1.0,0.032740501212611156
864691135294480310,L4IT,excitatory,train,7655,879,762,2446,2446,168,2112,85,0,1.0,0.0686835650040883
864691135295165196,L4IT,excitatory,train,3457,559,516,1686,1686,152,1490,81,0,1.0,0.09015421115065243
864691135295330828,L4IT,excitatory,train,4576,590,526,2499,2499,237,2073,94,0,1.0,0.09483793517406963
864691135294441654,L4IT,excitatory,train,4102,885,676,1297,1297,172,1048,58,0,1.0,0.13261372397841173
864691135324963484,L5ET,excitatory,train,5608,294,209,8183,8183,598,7021,262,0,1.0,0.07307833312965904
864691135325263004,L3IT,excitatory,train,5115,454,395,4199,4199,306,3739,139,0,1.0,0.0728744939271255
864691135324705692,L4IT,excitatory,train,3812,728,576,1398,1398,151,1152,64,0,1.0,0.10801144492131616
864691135325309084,L6IT,excitatory,train,4567,406,330,3013,3013,106,2512,36,0,1.0,0.035180882841022235
864691135325165724,ITC,inhibitory,train,3467,616,274,2902,2902,101,2373,53,0,1.0,0.03480358373535493
864691135325243548,microglia,glia,test,352,12,6,26,26,8,20,2,0,1.0,0.3076923076923077
864691135336669673,DTC,inhibitory,test,5027,1124,756,3666,3666,158,3229,73,0,1.0,0.0430987452264048
864691135325416604,astrocyte,glia,train,1700,45,34,109,109,14,98,5,0,1.0,0.12844036697247707
864691135335855337,L4IT,excitatory,train,3606,333,304,2748,2748,38,2333,23,0,1.0,0.013828238719068414
864691135336055529,L4IT,excitatory,train,5592,916,814,2662,2662,149,2261,64,0,1.0,0.05597295266716754
864691135336113129,L4IT,excitatory,train,5140,914,785,1760,1760,197,1418,79,0,1.0,0.11193181818181819
864691135325492892,microglia,glia,train,562,14,5,23,23,11,14,2,0,1.0,0.4782608695652174
864691135343081925,L6CT,excitatory,train,4354,312,241,3320,3320,101,2958,65,0,1.0,0.03042168674698795
864691135343499441,L6CT,excitatory,test,3003,172,147,1902,1902,64,1732,34,0,1.0,0.033648790746582544
864691135343097029,L6CT,excitatory,train,1986,204,167,2489,2489,88,2239,61,0,1.0,0.035355564483728404
864691135343506885,AltBasket,inhibitory,train,9011,3186,2462,2879,2879,83,2313,40,0,1.0,0.02882945467176103
864691135350976727,L1,inhibitory,train,5368,1956,1424,5084,5084,152,4563,89,0,1.0,0.02989771833202203
864691135361314119,L2IT,excitatory,train,5536,665,586,3216,3216,198,2966,107,0,1.0,0.061567164179104475
864691135361430087,L5IT,excitatory,test,3943,403,358,1415,1415,121,1239,71,0,1.0,0.08551236749116607
864691135361778503,AltBasket,inhibitory,test,2846,715,527,2336,2336,32,2021,17,0,1.0,0.0136986301369863
864691135384176619,L4IT,excitatory,train,2759,325,284,1726,1726,25,1495,16,0,1.0,0.014484356894553883
864691135375888840,L4IT,excitatory,test,5076,888,778,1977,1977,159,1740,91,0,1.0,0.08042488619119878
864691135382556378,L5ET,excitatory,train,7959,422,326,9956,9956,93,8824,23,0,1.0,0.009341100843712334
864691135375767369,L5IT,excitatory,train,4972,541,494,1634,1634,97,1480,64,0,1.0,0.05936352509179926
864691135375590217,L4IT,excitatory,test,4329,791,713,1888,1888,33,1647,19,0,1.0,0.017478813559322032
864691135376096329,ITC,inhibitory,train,3867,550,366,4444,4444,244,4044,184,0,1.0,0.05490549054905491
864691135387558997,L2IT,excitatory,train,5611,564,446,5263,5263,399,4615,158,0,1.0,0.07581227436823104
864691135387529301,PV,inhibitory,train,17083,7036,3076,10949,10949,540,9112,280,0,1.0,0.04931957256370445
864691135387690069,L2IT,excitatory,train,6042,481,406,5042,5042,25,4580,11,0,1.0,0.004958349861166204
864691135387551061,PV,inhibitory,train,17958,7196,3100,13528,13528,476,11805,228,0,1.0,0.03518628030751035
864691135387753601,MC,inhibitory,train,3411,747,554,2200,2200,200,1892,111,0,1.0,0.09090909090909091
864691135387513685,L4IT,excitatory,test,3874,645,539,1280,1280,116,1132,68,0,1.0,0.090625
864691135386963541,L4IT,excitatory,train,5683,862,758,2995,2995,102,2517,58,0,1.0,0.0340567612687813
864691135387535957,L4IT,excitatory,train,3304,499,424,1721,1721,139,1538,76,0,1.0,0.08076699593259733
864691135387277397,thalamocortical,excitatory,train,14141,3085,2566,110,110,35,77,2,0,1.0,0.3181818181818182
864691135388545921,L6IT,excitatory,test,2627,215,157,2353,2353,81,2089,51,0,1.0,0.034424139396515084
864691135387988609,L3IT,excitatory,train,3614,356,288,2498,2498,172,2157,72,0,1.0,0.0688550840672538
864691135388514689,astrocyte,glia,train,1869,62,40,384,384,32,343,11,0,1.0,0.08333333333333333
864691135387945813,astrocyte,glia,test,1412,43,33,90,90,15,81,6,0,1.0,0.16666666666666666
864691135389122689,PV,inhibitory,train,16361,5683,3632,7890,7890,407,6680,196,0,1.0,0.05158428390367554
864691135389168001,L2IT,excitatory,train,4827,446,381,4675,4675,354,4035,129,0,1.0,0.07572192513368985
864691135388984961,PV,inhibitory,train,20546,5812,2471,12177,12177,558,9992,248,0,1.0,0.04582409460458241
864691135396115189,L6IT,excitatory,test,4215,494,416,2033,2033,77,1791,47,0,1.0,0.03787506148548942
864691135396312821,L6CT,excitatory,train,2451,187,165,2535,2535,55,2308,32,0,1.0,0.021696252465483234
864691135395833333,ITC,inhibitory,train,1799,229,136,1614,1614,98,1447,62,0,1.0,0.06071871127633209
864691135431089968,L6IT,excitatory,train,4568,701,619,3394,3394,112,2959,65,0,1.0,0.032999410724808484
864691135431616048,L5ET,excitatory,train,8432,982,602,26982,26982,1404,19667,361,0,1.0,0.05203468979319546
864691135431109168,L6CT,excitatory,test,2738,245,202,1888,1888,55,1743,37,0,1.0,0.02913135593220339
864691135431654960,L2IT,excitatory,train,5681,482,435,2733,2733,158,2551,97,0,1.0,0.05781192828393707
864691135431591728,L6CT,excitatory,train,2210,146,121,1467,1467,36,1329,21,0,1.0,0.024539877300613498
864691135431579440,AltDTC,inhibitory,train,3986,823,591,2359,2359,87,2133,51,0,1.0,0.03688003391267486
864691135431633200,microglia,glia,train,334,10,6,14,14,6,10,2,0,1.0,0.42857142857142855
864691135448256146,L4IT,excitatory,train,5173,823,737,1344,1344,114,1177,61,0,1.0,0.08482142857142858
864691135447888274,PV,inhibitory,train,9238,2140,1021,5714,5714,252,5078,132,0,1.0,0.04410220511025551
864691135448130450,L3IT,excitatory,train,4629,520,443,3161,3161,257,2776,118,0,1.0,0.08130338500474533
864691135448215698,L4IT,excitatory,train,4605,650,591,2527,2527,253,2146,110,0,1.0,0.1001187178472497
864691135464928318,L2IT,excitatory,train,5340,352,316,3102,3102,144,2871,85,0,1.0,0.04642166344294004
864691135464787525,L4IT,excitatory,train,2940,340,303,1474,1474,8,1289,5,0,1.0,0.005427408412483039
864691135464946757,PV,inhibitory,test,7808,1843,696,4070,4070,263,3268,103,0,1.0,0.06461916461916462
864691135464671550,L2IT,excitatory,train,6199,692,605,4509,4509,164,4223,95,0,1.0,0.036371701042359726
864691135465001373,PV,inhibitory,train,8438,2408,1250,6848,6848,397,5920,231,0,1.0,0.0579731308411215
864691135465583685,L6IT,excitatory,train,2871,306,248,2097,2097,83,1811,53,0,1.0,0.039580352885073916
864691135465098653,L6CT,excitatory,train,2983,157,123,3376,3376,106,3023,64,0,1.0,0.03139810426540284
864691135465100189,L4IT,excitatory,train,4374,662,579,1772,1772,160,1552,90,0,1.0,0.09029345372460497
864691135469753426,L2IT,excitatory,train,4691,687,561,5032,5032,398,4289,144,0,1.0,0.07909379968203498
864691135466333509,PV,inhibitory,train,10937,4594,1841,6512,6512,693,5273,293,0,1.0,0.10641891891891891
864691135468948364,L3IT,excitatory,train,7745,1458,1305,4273,4273,71,3594,37,0,1.0,0.016615960683360638
864691135468161164,L3IT,excitatory,train,3685,114,95,5173,5173,24,4695,13,0,1.0,0.004639474192924802
864691135473961522,L6CT,excitatory,train,1663,75,45,2234,2234,69,1988,36,0,1.0,0.03088630259623993
864691135476495936,L3IT,excitatory,test,9687,2389,2001,3654,3654,280,3121,129,0,1.0,0.07662835249042145
864691135473954354,L6IT,excitatory,train,4667,618,515,2339,2339,111,2024,77,0,1.0,0.04745617785378367
864691135473540914,L4IT,excitatory,train,3937,537,451,2521,2521,267,2036,92,0,1.0,0.10591035303451012
864691135474504498,L4IT,excitatory,train,2393,299,244,1479,1479,119,1255,53,0,1.0,0.08045977011494253
864691135474086450,PV,inhibitory,train,11043,2568,910,7301,7301,171,6038,45,0,1.0,0.023421449116559374
864691135474179378,MC,inhibitory,train,4736,1155,863,2052,2052,123,1795,83,0,1.0,0.059941520467836254
864691135480702662,MC,inhibitory,train,12578,10729,5628,6732,6732,499,5654,286,0,1.0,0.07412358882947118
864691135480892614,L4IT,excitatory,train,8089,1293,1154,4860,4860,315,4113,161,0,1.0,0.06481481481481481
864691135480585158,L1,inhibitory,train,1211,45,38,2580,2580,99,2418,50,0,1.0,0.03837209302325582
864691135479833030,L4IT,excitatory,train,5511,1084,967,1809,1809,61,1611,37,0,1.0,0.033720287451630734
864691135480800198,L2IT,excitatory,train,4494,232,201,3928,3928,132,3699,77,0,1.0,0.03360488798370672
864691135480718022,L2IT,excitatory,test,4987,484,397,4589,4589,18,4067,11,0,1.0,0.003922423185879277
864691135480803014,astrocyte,glia,train,2027,60,51,145,145,21,131,12,0,1.0,0.14482758620689656
864691135480702150,microglia,glia,train,580,13,4,29,29,11,20,2,0,1.0,0.3793103448275862
864691135490326074,L2IT,excitatory,train,4482,319,278,4636,4636,247,4215,114,0,1.0,0.05327868852459016
864691135491204327,L2IT,excitatory,train,3405,123,101,5499,5499,26,4873,9,0,1.0,0.004728132387706856
864691135491167207,L2IT,excitatory,train,4074,225,176,5901,5901,32,5271,10,0,1.0,0.0054228096932723265
864691135490505018,L4IT,excitatory,train,4035,466,404,1315,1315,117,1181,67,0,1.0,0.08897338403041825
864691135492991839,L4IT,excitatory,train,3507,505,399,1256,1256,148,1074,69,0,1.0,0.1178343949044586
864691135493031519,L4IT,excitatory,train,5537,737,659,2726,2726,224,2336,102,0,1.0,0.08217168011738811
864691135493546591,L4IT,excitatory,train,3430,310,255,1911,1911,156,1688,84,0,1.0,0.08163265306122448
864691135493079135,L6CT,excitatory,train,3621,242,175,2333,2333,65,2031,36,0,1.0,0.02786112301757394
864691135493051879,L3IT,excitatory,train,4275,403,326,4552,4552,355,4048,163,0,1.0,0.07798769771528999
864691135493620831,L2IT,excitatory,train,4974,250,218,2914,2914,159,2737,101,0,1.0,0.05456417295813315
864691135493079783,L2IT,excitatory,test,5243,561,458,6111,6111,26,5351,7,0,1.0,0.004254622811323842
864691135496444816,PV,inhibitory,train,7445,3053,1120,5988,5988,472,5068,246,0,1.0,0.0788243152972612
864691135499283987,L6IT,excitatory,train,5205,673,512,2622,2622,151,2096,58,0,1.0,0.057589626239511825
864691135499616019,PV,inhibitory,train,8505,4719,1670,5749,5749,438,4418,189,0,1.0,0.07618716298486693
864691135496440208,L3IT,excitatory,test,5092,399,352,5354,5354,400,4667,165,0,1.0,0.07471049682480388
864691135498997267,L5IT,excitatory,train,5262,511,461,2022,2022,145,1728,71,0,1.0,0.07171117705242334
864691135499317779,astrocyte,glia,train,1769,53,29,343,343,29,304,5,0,1.0,0.08454810495626822
864691135498992403,L3IT,excitatory,train,2439,171,144,2233,2233,20,1957,3,0,1.0,0.008956560680698611
864691135503182685,L5ET,excitatory,test,8500,660,502,11190,11190,748,9168,254,0,1.0,0.06684539767649687
864691135503163202,L4IT,excitatory,test,8405,1061,950,3074,3074,65,2629,39,0,1.0,0.02114508783344177
864691135502902338,L5IT,excitatory,test,5450,695,599,2352,2352,39,2071,16,0,1.0,0.016581632653061226
864691135503350082,L6CT,excitatory,train,2385,183,145,2355,2355,76,2132,46,0,1.0,0.03227176220806794
864691135502885954,L2IT,excitatory,train,3928,307,269,4816,4816,241,4367,117,0,1.0,0.05004152823920266
864691135503004765,ITCperi,inhibitory,train,2613,517,326,1505,1505,112,1372,67,0,1.0,0.07441860465116279
864691135503293250,L6CT,excitatory,train,3476,173,120,1959,1959,55,1711,25,0,1.0,0.02807554874936192
864691135504168285,L4IT,excitatory,test,3718,525,476,2053,2053,220,1744,95,0,1.0,0.1071602532878714
864691135503448898,L6IT,excitatory,test,7149,889,788,3607,3607,107,3193,47,0,1.0,0.029664541169947326
864691135503443549,L4IT,excitatory,train,3757,694,584,988,988,21,880,8,0,1.0,0.02125506072874494
864691135503782210,AltDTC,inhibitory,train,8361,1854,1379,3742,3742,113,3438,54,0,1.0,0.03019775521111705
864691135503439170,L6CT,excitatory,train,1920,64,50,1821,1821,49,1672,27,0,1.0,0.026908292147171883
864691135503556930,astrocyte,glia,train,1912,45,33,64,64,15,53,4,0,1.0,0.234375
864691135518510218,NGC,inhibitory,test,2177,101,96,2743,2743,52,2572,39,0,1.0,0.018957345971563982
864691135518283475,L3IT,excitatory,train,6346,688,602,4724,4724,307,4155,133,0,1.0,0.06498729889923793
864691135511486985,L4IT,excitatory,train,4914,864,785,1335,1335,161,1147,76,0,1.0,0.12059925093632959
864691135511802576,L5IT,excitatory,train,5756,604,527,3360,3360,34,3056,10,0,1.0,0.01011904761904762
864691135517531786,L2IT,excitatory,test,5769,423,351,5057,5057,28,4633,14,0,1.0,0.00553687957286929
864691135539591282,L6CT,excitatory,train,2031,167,130,2450,2450,86,2227,56,0,1.0,0.03510204081632653
864691135546161704,L4IT,excitatory,test,5561,872,696,2835,2835,278,2366,120,0,1.0,0.0980599647266314
864691135539491442,L4IT,excitatory,train,5288,918,784,3513,3513,26,2770,14,0,1.0,0.00740108169655565
864691135544366632,oligo,glia,train,292,2,2,2,2,1,2,1,0,1.0,0.5
864691135562474977,L4IT,excitatory,train,4887,555,511,2763,2763,71,2383,42,0,1.0,0.025696706478465437
864691135562842337,L3IT,excitatory,train,7483,1258,1094,3651,3651,287,3193,130,0,1.0,0.07860860038345659
864691135562519009,L6IT,excitatory,train,4160,543,449,2541,2541,92,2233,44,0,1.0,0.03620621802439984
864691135562975969,L3IT,excitatory,train,5080,316,273,4261,4261,277,3884,129,0,1.0,0.06500821403426425
864691135562798817,L3IT,excitatory,test,8506,1413,1242,3426,3426,235,3010,123,0,1.0,0.06859311150029189
864691135562950369,ITCperi,inhibitory,train,6062,1709,1184,2268,2268,164,2014,72,0,1.0,0.07231040564373897
864691135565962775,L2IT,excitatory,train,4599,297,269,5632,5632,26,5084,10,0,1.0,0.004616477272727273
864691135570301676,L4IT,excitatory,train,3123,602,481,1552,1552,221,1258,73,0,1.0,0.14239690721649484
864691135567059223,L4IT,excitatory,train,4468,670,604,2017,2017,213,1711,93,0,1.0,0.10560237977193852
864691135567047191,L3IT,excitatory,test,4378,483,409,4743,4743,303,4208,145,0,1.0,0.06388361796331436
864691135570135020,L6IT,excitatory,train,3746,486,410,1740,1740,83,1549,52,0,1.0,0.04770114942528736
864691135569363948,L6CT,excitatory,train,1827,168,121,1986,1986,62,1796,39,0,1.0,0.03121852970795569
864691135569592300,L4IT,excitatory,test,4290,879,760,1521,1521,157,1294,70,0,1.0,0.1032215647600263
864691135569902316,L4IT,excitatory,train,4935,739,673,2242,2242,16,1877,7,0,1.0,0.007136485280999108
864691135572576237,L2IT,excitatory,train,5501,401,355,3975,3975,184,3711,95,0,1.0,0.04628930817610063
864691135573327085,L3IT,excitatory,test,4202,276,233,4418,4418,247,3957,139,0,1.0,0.055907650520597554
864691135573296677,L3IT,excitatory,train,4940,375,314,4809,4809,306,4285,147,0,1.0,0.06363069245165315
864691135572385061,L2IT,excitatory,train,3178,195,170,4262,4262,20,3853,9,0,1.0,0.004692632566870014
864691135572530981,L5ET,excitatory,train,7445,477,369,7169,7169,46,6447,11,0,1.0,0.0064165155530757426
864691135573315053,L6IT,excitatory,train,4781,298,242,4241,4241,195,3741,100,0,1.0,0.045979721763734965
864691135573276197,L6IT,excitatory,train,5341,661,540,3162,3162,99,2702,52,0,1.0,0.031309297912713474
864691135576991518,L4IT,excitatory,train,6122,760,687,3001,3001,80,2569,36,0,1.0,0.026657780739753417
864691135576872222,L4IT,excitatory,train,4280,690,569,2997,2997,291,2452,109,0,1.0,0.0970970970970971
864691135577135390,L6CT,excitatory,train,2637,268,202,2315,2315,61,2105,40,0,1.0,0.026349892008639308
864691135577574430,L2IT,excitatory,train,4178,285,251,4096,4096,114,3773,65,0,1.0,0.02783203125
864691135577617694,L2IT,excitatory,train,4191,281,229,2938,2938,150,2713,87,0,1.0,0.05105513955071477
864691135578670597,L6IT,excitatory,train,5464,680,569,3225,3225,132,2807,52,0,1.0,0.04093023255813953
864691135577651230,L2IT,excitatory,train,7086,629,552,4842,4842,313,4390,145,0,1.0,0.06464270962412226
864691135577644574,L3IT,excitatory,train,4926,582,488,5488,5488,329,4864,150,0,1.0,0.05994897959183673
864691135578360837,L4IT,excitatory,train,4594,530,490,2761,2761,101,2388,62,0,1.0,0.03658094893154654
864691135577816862,L4IT,excitatory,train,5440,1234,1076,1788,1788,168,1520,76,0,1.0,0.09395973154362416
864691135582973549,L4IT,excitatory,train,5840,1205,1053,1998,1998,161,1633,54,0,1.0,0.08058058058058058
864691135584019053,NMC,inhibitory,train,9374,5112,3049,8121,8121,671,6936,332,0,1.0,0.08262529245166851
864691135584316781,PV,inhibitory,train,9185,3138,1633,8010,8010,406,7180,203,0,1.0,0.050686641697877656
864691135585713528,L5IT,excitatory,test,7293,926,836,3148,3148,225,2759,124,0,1.0,0.07147395171537484
864691135585503864,L6CT,excitatory,train,1997,98,77,2177,2177,63,1994,41,0,1.0,0.028938906752411574
864691135586022264,PV,inhibitory,train,14747,5155,1847,10066,10066,282,8733,142,0,1.0,0.028015100337770712
864691135587371132,L4IT,excitatory,train,3714,315,274,2119,2119,148,1912,78,0,1.0,0.06984426616328457
864691135586240120,L2IT,excitatory,train,5475,405,364,2800,2800,125,2648,85,0,1.0,0.044642857142857144
864691135586724220,L5IT,excitatory,train,7976,908,786,4963,4963,270,4302,121,0,1.0,0.054402579085230704
864691135587532924,L5IT,excitatory,train,5311,370,317,3922,3922,63,3405,25,0,1.0,0.01606323304436512
864691135587086972,microglia,glia,test,888,80,67,22,22,9,14,1,0,1.0,0.4090909090909091
864691135659566210,L4IT,excitatory,train,2774,376,325,1902,1902,195,1596,90,0,1.0,0.10252365930599369
864691135659824514,ITC,inhibitory,test,3671,450,229,2407,2407,89,2004,49,0,1.0,0.03697548815953469
